 ,, ,,,,,,,,,,,,2454,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,
Date,Order name,Client ,Status,Date requested,Date of delivery,Type1,Amt,Type2,Amt,Permit required,Note,KLIC ,Google Maps,PDOK,Waterkering ,Oppervlaktewater,Peil,EV1,EV2,EV3,EV4,EV5,Email1,Email2,Email3,Email4,Email5,Email6,,,,,,,,,,,,,,,,,,
16-3-2026,"3D26V824 Zevenhuizen, Bredeweg",3D,Order received,6-Apr-2026,,B,1,,,-,,,https://maps.app.goo.gl/ejzkqUExo2nM5P8R6,"https://app.pdok.nl/viewer/#x=101795.66&y=448606.99&z=13.6667&background=Luchtfoto&layers=3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerBouwwerk;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerGebied;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLeiding;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPomp;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPut;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLozing;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingPunt;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingLeiding;_;1",https://experience.arcgis.com/experience/9373fa4978604e8f91eb234b64e1d79e/page/De-dijken/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-3-2026,"HS26V009 Nijbroek, Middendijk",HS,Order received,3-Apr-2026,,B,1,,,-,,,"Middendijk 63, 7397 ND Nijbroek","https://app.pdok.nl/viewer/#x=200980.04&y=479221.02&z=13.3333&background=Luchtfoto&layers=3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerBouwwerk;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerGebied;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLeiding;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPomp;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPut;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLozing;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingPunt;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingLeiding;_;1",https://open-geodata-portaal-valleienveluwe.hub.arcgis.com/apps/e75d12ac1ccb47daa53c1b53916be4e9/explore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-3-2026,"TM26V231 Olst, Middelerstraat",TM,Order received,2-Apr-2026,,N,1,,,-,,,"Middelerstraat 4, 8121 RP Olst","https://app.pdok.nl/viewer/#x=206389.45&y=485230.08&z=13.6667&background=Luchtfoto&layers=3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerBouwwerk;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerGebied;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLeiding;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPomp;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPut;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLozing;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingPunt;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingLeiding;_;1",https://wdodelta.maps.arcgis.com/apps/instant/basic/index.html?appid=b84164114b70469ca1ba12d662946309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-3-2026,"3D26V823 Nieuwer Ter Aa, Doude van Troostwijkstraat",3D,Order received,1-Apr-2026,,B,1,,,-,,,"https://www.google.com/maps/place/52%C2%B011'23.1%22N+4%C2%B059'00.3%22E/@52.1897657,4.9832368,205m/data=!3m1!1e3!4m4!3m3!8m2!3d52.18974!4d4.983414?entry=ttu&g_ep=EgoyMDI2MDMwOS4wIKXMDSoASAFQAw%3D%3D","https://app.pdok.nl/viewer/#x=127413.19&y=466914.35&z=14.3333&background=Luchtfoto&layers=3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerBouwwerk;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerGebied;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLeiding;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPomp;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPut;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLozing;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingPunt;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingLeiding;_;1",https://maps.waternet.nl/portal/apps/experiencebuilder/experience/?id=36500ca8332b489182bf9ab83427cbc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-3-2026,"TM26V230 Markelo, W. Göttelaan N753",TM,Order received,1-Apr-2026,,N,1,,,P,,,"https://www.google.com/maps/place/52%C2%B014'07.5%22N+6%C2%B030'24.9%22E/@52.2358099,6.5060574,345m/data=!3m1!1e3!4m4!3m3!8m2!3d52.235419!4d6.506905?entry=ttu&g_ep=EgoyMDI2MDMwOS4wIKXMDSoASAFQAw%3D%3D","https://app.pdok.nl/viewer/#x=231507.84&y=472475.85&z=14.0000&background=Luchtfoto&layers=3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerBouwwerk;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerGebied;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLeiding;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPomp;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPut;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLozing;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingPunt;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingLeiding;_;1",https://wrij.maps.arcgis.com/apps/instant/sidebar/index.html?appid=51e2324fc55148c795406bb1aa8c6579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-3-2026,"KB26V414 Bunschoten-Spakenburg, Voltaweg",KB,Order received,31-Mar-2026,,Z,1,,,-,,,"Voltaweg 29, 3752 LN Bunschoten-Spakenburg","https://app.pdok.nl/viewer/#x=153142.62&y=471369.94&z=13.5599&background=Luchtfoto&layers=3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerBouwwerk;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerGebied;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLeiding;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPomp;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPut;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLozing;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingPunt;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingLeiding;_;1",https://open-geodata-portaal-valleienveluwe.hub.arcgis.com/apps/e75d12ac1ccb47daa53c1b53916be4e9/explore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-3-2026,"VG26V403 Boskoop, Omloop",VG,Order received,30-Mar-2026,,Z,1,,,-,,,"Omloop 28, 2771 NL Boskoop","https://app.pdok.nl/viewer/#x=106746.94&y=453764.21&z=13.0346&background=Luchtfoto&layers=3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerBouwwerk;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerGebied;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLeiding;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPomp;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPut;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLozing;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingPunt;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingLeiding;_;1",https://rijnland.maps.arcgis.com/apps/instant/sidebar/index.html?appid=2b214417eea74ae9a56119c251ffa960,https://rijnland.maps.arcgis.com/apps/instant/sidebar/index.html?appid=f0fd839278474fe7841a12800fcc3e39,https://rijnland.maps.arcgis.com/apps/instant/sidebar/index.html?appid=5469a9663c5e4643b10efe6da9a15ae2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-3-2026,"KB26V413 Ressen, Bouwlustlaan",KB,Order received,27-Mar-2026,,Z,1,,,-,,,"Bouwlustlaan 3, 6684 DM Ressen","https://app.pdok.nl/viewer/#x=187546.86&y=433731.28&z=14.0000&background=Luchtfoto&layers=3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerBouwwerk;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerGebied;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLeiding;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPomp;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPut;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLozing;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingPunt;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingLeiding;_;1",https://experience.arcgis.com/experience/ff9e6ee747524d3cbce7712338ad0e89/page/Pagina-1,https://experience.arcgis.com/experience/c58cad477757430f9ad8c6c1673058fc/page/Pagina-1,https://wsrl.maps.arcgis.com/apps/instant/sidebar/index.html?appid=cbf893b541074183a43c4653524c3359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-3-2026,"3D26V821 Noordbeemster, Purmerenderweg",3D,Order received,26-Mar-2026,,B,1,,,-,,,"Purmerenderweg 14, 1463 DA Noordbeemster","https://app.pdok.nl/viewer/#x=127208.37&y=509463.36&z=12.4657&background=Luchtfoto&layers=3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerBouwwerk;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerGebied;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLeiding;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPomp;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPut;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLozing;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingPunt;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingLeiding;_;1",https://kaarten.hhnk.nl/portal/apps/webappviewer/index.html?id=d2de3caed0ba442290991e1f5b404e1a,https://kaarten.hhnk.nl/portal/apps/experiencebuilder/experience/?id=44d528c37de546e9846eb2bcaebee084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-3-2026,"VB26V401 Kerklaan, Kortenhoef",VB,Order received,26-Mar-2026,,Z,1,,,-,,,"Kerklaan 93, 1241 CL Kortenhoef","https://app.pdok.nl/viewer/#x=136227.00&y=472546.00&z=14.0000&background=Luchtfoto&layers=3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerBouwwerk;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerGebied;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLeiding;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPomp;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerPut;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;BeheerLozing;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingPunt;_;1,3e2fb829-3c81-45b5-a65c-95ecc2d891d4;AansluitingLeiding;_;1",https://maps.waternet.nl/portal/apps/experiencebuilder/experience/?id=36500ca8332b489182bf9ab83427cbc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
